id,fund_id,amount,completed_on
318,1,10677.8,2017-08-16
323,3,2288.1,2017-08-16
324,3,762.7,2017-08-16
325,3,2669.45,2017-08-16
331,1,9152.4,2017-08-23
332,1,3050.8,2017-08-23
333,1,10677.8,2017-08-23
336,1,4576.2,2017-08-23
338,3,2288.1,2017-08-23
339,3,762.7,2017-08-23
340,3,2669.45,2017-08-23
343,3,1144.05,2017-08-23
346,1,9152.4,2017-08-30
347,1,3050.8,2017-08-30
348,1,10677.8,2017-08-30
353,3,2288.1,2017-08-30
354,3,762.7,2017-08-30
355,3,2669.45,2017-08-30
361,1,9152.4,2017-09-06
362,1,3050.8,2017-09-06
363,1,10677.8,2017-09-06
368,3,2288.1,2017-09-06
369,3,762.7,2017-09-06
370,3,2669.45,2017-09-06
376,1,9152.4,2017-09-13
377,1,3050.8,2017-09-13
378,1,10677.8,2017-09-13
379,1,3050.8,2017-09-13
383,3,2288.1,2017-09-13
384,3,762.7,2017-09-13
385,3,2669.45,2017-09-13
386,3,762.7,2017-09-13
391,1,9152.4,2017-09-20
392,1,3050.8,2017-09-20
393,1,10677.8,2017-09-20
394,1,3050.8,2017-09-20
398,3,2288.1,2017-09-20
399,3,762.7,2017-09-20
400,3,2669.45,2017-09-20
401,3,762.7,2017-09-20
406,1,9152.4,2017-09-27
407,1,3050.8,2017-09-27
408,1,10677.8,2017-09-27
413,3,2288.1,2017-09-27
414,3,762.7,2017-09-27
415,3,2669.45,2017-09-27
421,1,9152.4,2017-10-04
422,1,3050.8,2017-10-04
423,1,10677.8,2017-10-04
428,3,2288.1,2017-10-04
429,3,762.7,2017-10-04
430,3,2669.45,2017-10-04
436,1,9152.4,2017-10-11
437,1,3050.8,2017-10-11
438,1,10677.8,2017-10-11
440,1,3050.8,2017-10-11
443,3,2288.1,2017-10-11
444,3,762.7,2017-10-11
445,3,2669.45,2017-10-11
447,3,762.7,2017-10-11
451,1,9152.4,2017-10-18
452,1,3050.8,2017-10-18
453,1,10677.8,2017-10-18
458,3,2288.1,2017-10-18
459,3,762.7,2017-10-18
460,3,2669.45,2017-10-18
466,1,9152.4,2017-10-25
467,1,3050.8,2017-10-25
468,1,10677.8,2017-10-25
473,3,2288.1,2017-10-25
474,3,762.7,2017-10-25
475,3,2669.45,2017-10-25
481,1,9152.4,2017-11-01
482,1,3050.8,2017-11-01
483,1,10677.8,2017-11-01
486,1,4576.2,2017-11-01
488,3,2288.1,2017-11-01
489,3,762.7,2017-11-01
490,3,2669.45,2017-11-01
493,3,1144.05,2017-11-01
496,1,9152.4,2017-11-08
497,1,3050.8,2017-11-08
498,1,10677.8,2017-11-08
499,1,3050.8,2017-11-08
500,1,3050.8,2017-11-08
503,3,2288.1,2017-11-08
504,3,762.7,2017-11-08
505,3,2669.45,2017-11-08
506,3,762.7,2017-11-08
507,3,762.7,2017-11-08
511,1,9152.4,2017-11-15
512,1,3050.8,2017-11-15
513,1,10677.8,2017-11-15
518,3,2288.1,2017-11-15
519,3,762.7,2017-11-15
520,3,2669.45,2017-11-15
526,1,9152.4,2017-11-22
527,1,3050.8,2017-11-22
528,1,10677.8,2017-11-22
533,3,2288.1,2017-11-22
534,3,762.7,2017-11-22
535,3,2669.45,2017-11-22
541,1,9152.4,2017-11-29
542,1,3050.8,2017-11-29
543,1,10677.8,2017-11-29
548,3,2288.1,2017-11-29
549,3,762.7,2017-11-29
550,3,2669.45,2017-11-29
556,1,9152.4,2017-12-06
557,1,3050.8,2017-12-06
558,1,10677.8,2017-12-06
563,3,2288.1,2017-12-06
564,3,762.7,2017-12-06
565,3,2669.45,2017-12-06
571,1,9152.4,2017-12-13
572,1,3050.8,2017-12-13
573,1,10677.8,2017-12-13
578,3,2288.1,2017-12-13
579,3,762.7,2017-12-13
580,3,2669.45,2017-12-13
586,1,9152.4,2017-12-20
587,1,3050.8,2017-12-20
588,1,10677.8,2017-12-20
593,3,2288.1,2017-12-20
594,3,762.7,2017-12-20
595,3,2669.45,2017-12-20
601,1,9152.4,2017-12-27
602,1,3050.8,2017-12-27
603,1,10677.8,2017-12-27
608,3,2288.1,2017-12-27
609,3,762.7,2017-12-27
610,3,2669.45,2017-12-27
616,1,9152.4,2018-01-03
617,1,3050.8,2018-01-03
618,1,10677.8,2018-01-03
623,3,2288.1,2018-01-03
624,3,762.7,2018-01-03
625,3,2669.45,2018-01-03
631,1,9152.4,2018-01-10
632,1,3050.8,2018-01-10
633,1,10677.8,2018-01-10
638,3,2288.1,2018-01-10
639,3,762.7,2018-01-10
640,3,2669.45,2018-01-10
646,1,9152.4,2018-01-17
647,1,3050.8,2018-01-17
648,1,10677.8,2018-01-17
653,3,2288.1,2018-01-17
654,3,762.7,2018-01-17
655,3,2669.45,2018-01-17
661,1,9152.4,2018-01-24
662,1,3050.8,2018-01-24
663,1,10677.8,2018-01-24
668,3,2288.1,2018-01-24
669,3,762.7,2018-01-24
670,3,2669.45,2018-01-24
676,1,9152.4,2018-01-31
677,1,3050.8,2018-01-31
678,1,10677.8,2018-01-31
683,3,2288.1,2018-01-31
684,3,762.7,2018-01-31
685,3,2669.45,2018-01-31
691,1,9152.4,2018-02-07
692,1,3050.8,2018-02-07
693,1,10677.8,2018-02-07
698,3,2288.1,2018-02-07
699,3,762.7,2018-02-07
700,3,2669.45,2018-02-07
706,1,9152.4,2018-02-14
707,1,3050.8,2018-02-14
708,1,10677.8,2018-02-14
713,3,2288.1,2018-02-14
714,3,762.7,2018-02-14
715,3,2669.45,2018-02-14
721,1,9152.4,2018-02-21
722,1,3050.8,2018-02-21
723,1,10677.8,2018-02-21
728,3,2288.1,2018-02-21
729,3,762.7,2018-02-21
730,3,2669.45,2018-02-21
736,1,9152.4,2018-02-28
737,1,3050.8,2018-02-28
738,1,10677.8,2018-02-28
743,3,2288.1,2018-02-28
744,3,762.7,2018-02-28
745,3,2669.45,2018-02-28
751,1,9152.4,2018-03-07
752,1,3050.8,2018-03-07
753,1,10677.8,2018-03-07
758,3,2288.1,2018-03-07
759,3,762.7,2018-03-07
760,3,2669.45,2018-03-07
766,1,9152.4,2018-03-14
767,1,3050.8,2018-03-14
768,1,10677.8,2018-03-14
773,3,2288.1,2018-03-14
774,3,762.7,2018-03-14
775,3,2669.45,2018-03-14
781,1,9152.4,2018-03-21
782,1,3050.8,2018-03-21
783,1,10677.8,2018-03-21
788,3,2288.1,2018-03-21
789,3,762.7,2018-03-21
790,3,2669.45,2018-03-21
796,1,9152.4,2018-03-28
797,1,3050.8,2018-03-28
798,1,10677.8,2018-03-28
803,3,2288.1,2018-03-28
804,3,762.7,2018-03-28
805,3,2669.45,2018-03-28
811,1,9152.4,2018-04-04
812,1,3050.8,2018-04-04
813,1,10677.8,2018-04-04
815,1,3050.8,2018-04-04
818,3,2288.1,2018-04-04
819,3,762.7,2018-04-04
820,3,2669.45,2018-04-04
822,3,762.7,2018-04-04
826,1,9152.4,2018-04-11
827,1,3050.8,2018-04-11
828,1,10677.8,2018-04-11
833,3,2288.1,2018-04-11
834,3,762.7,2018-04-11
835,3,2669.45,2018-04-11
841,1,9152.4,2018-04-18
842,1,3050.8,2018-04-18
843,1,10677.8,2018-04-18
848,3,2288.1,2018-04-18
849,3,762.7,2018-04-18
850,3,2669.45,2018-04-18
856,1,9152.4,2018-04-25
857,1,3050.8,2018-04-25
858,1,10677.8,2018-04-25
863,3,2288.1,2018-04-25
864,3,762.7,2018-04-25
865,3,2669.45,2018-04-25
871,1,9152.4,2018-05-02
872,1,3050.8,2018-05-02
873,1,10677.8,2018-05-02
874,1,3050.8,2018-05-02
878,3,2288.1,2018-05-02
879,3,762.7,2018-05-02
880,3,2669.45,2018-05-02
881,3,762.7,2018-05-02
886,1,9152.4,2018-05-09
887,1,3050.8,2018-05-09
888,1,10677.8,2018-05-09
893,3,2288.1,2018-05-09
894,3,762.7,2018-05-09
895,3,2669.45,2018-05-09
901,1,9152.4,2018-05-16
902,1,3050.8,2018-05-16
903,1,10677.8,2018-05-16
908,3,2288.1,2018-05-16
909,3,762.7,2018-05-16
910,3,2669.45,2018-05-16
916,1,9152.4,2018-05-23
917,1,3050.8,2018-05-23
918,1,10677.8,2018-05-23
923,3,2288.1,2018-05-23
924,3,762.7,2018-05-23
925,3,2669.45,2018-05-23
931,1,9152.4,2018-05-30
932,1,3050.8,2018-05-30
933,1,10677.8,2018-05-30
938,3,2288.1,2018-05-30
939,3,762.7,2018-05-30
940,3,2669.45,2018-05-30
946,1,9152.4,2018-06-06
947,1,3050.8,2018-06-06
948,1,10677.8,2018-06-06
951,1,4576.2,2018-06-06
953,3,2288.1,2018-06-06
954,3,762.7,2018-06-06
955,3,2669.45,2018-06-06
958,3,1144.05,2018-06-06
961,1,9152.4,2018-06-13
962,1,3050.8,2018-06-13
963,1,10677.8,2018-06-13
968,3,2288.1,2018-06-13
969,3,762.7,2018-06-13
970,3,2669.45,2018-06-13
976,1,9152.4,2018-06-20
977,1,3050.8,2018-06-20
978,1,10677.8,2018-06-20
981,1,4576.2,2018-06-20
983,3,2288.1,2018-06-20
984,3,762.7,2018-06-20
985,3,2669.45,2018-06-20
988,3,1144.05,2018-06-20
991,1,9152.4,2018-06-27
992,1,3050.8,2018-06-27
993,1,10677.8,2018-06-27
998,3,2288.1,2018-06-27
999,3,762.7,2018-06-27
1000,3,2669.45,2018-06-27
1006,1,9152.4,2018-07-04
1007,1,3050.8,2018-07-04
1008,1,10677.8,2018-07-04
1009,1,3050.8,2018-07-04
1013,3,2288.1,2018-07-04
1014,3,762.7,2018-07-04
1015,3,2669.45,2018-07-04
1016,3,762.7,2018-07-04
1021,1,9152.4,2018-07-11
1022,1,3050.8,2018-07-11
1023,1,10677.8,2018-07-11
1024,1,3050.8,2018-07-11
1025,1,3050.8,2018-07-11
1028,3,2288.1,2018-07-11
1029,3,762.7,2018-07-11
1030,3,2669.45,2018-07-11
1031,3,762.7,2018-07-11
1032,3,762.7,2018-07-11
1036,1,9152.4,2018-07-18
1037,1,3050.8,2018-07-18
1038,1,10677.8,2018-07-18
1040,1,3050.8,2018-07-18
1043,3,2288.1,2018-07-18
1044,3,762.7,2018-07-18
1045,3,2669.45,2018-07-18
1047,3,762.7,2018-07-18
1051,1,9152.4,2018-07-25
1052,1,3050.8,2018-07-25
1053,1,10677.8,2018-07-25
1058,3,2288.1,2018-07-25
1059,3,762.7,2018-07-25
1060,3,2669.45,2018-07-25
1066,1,9152.4,2018-08-01
1067,1,3050.8,2018-08-01
1068,1,10677.8,2018-08-01
1073,3,2288.1,2018-08-01
1074,3,762.7,2018-08-01
1075,3,2669.45,2018-08-01
1081,1,9152.4,2018-08-08
1082,1,3050.8,2018-08-08
1083,1,10677.8,2018-08-08
1088,3,2288.1,2018-08-08
1089,3,762.7,2018-08-08
1090,3,2669.45,2018-08-08
1096,1,9152.4,2018-08-15
1097,1,3050.8,2018-08-15
1098,1,10677.8,2018-08-15
1101,1,4576.2,2018-08-15
1103,3,2288.1,2018-08-15
1104,3,762.7,2018-08-15
1105,3,2669.45,2018-08-15
1108,3,1144.05,2018-08-15
1111,1,9152.4,2018-08-22
1112,1,3050.8,2018-08-22
1113,1,10677.8,2018-08-22
1118,3,2288.1,2018-08-22
1119,3,762.7,2018-08-22
1120,3,2669.45,2018-08-22
1126,1,9152.4,2018-08-29
1127,1,3050.8,2018-08-29
1128,1,10677.8,2018-08-29
1133,3,2288.1,2018-08-29
1134,3,762.7,2018-08-29
1135,3,2669.45,2018-08-29
1141,1,9152.4,2018-09-05
1142,1,3050.8,2018-09-05
1143,1,10677.8,2018-09-05
1148,3,2288.1,2018-09-05
1149,3,762.7,2018-09-05
1150,3,2669.45,2018-09-05
1156,1,9152.4,2018-09-12
1157,1,3050.8,2018-09-12
1158,1,10677.8,2018-09-12
1163,3,2288.1,2018-09-12
1164,3,762.7,2018-09-12
1165,3,2669.45,2018-09-12
1171,1,9152.4,2018-09-19
1172,1,3050.8,2018-09-19
1173,1,10677.8,2018-09-19
1178,3,2288.1,2018-09-19
1179,3,762.7,2018-09-19
1180,3,2669.45,2018-09-19
1186,1,9152.4,2018-09-26
1187,1,3050.8,2018-09-26
1188,1,10677.8,2018-09-26
1193,3,2288.1,2018-09-26
1194,3,762.7,2018-09-26
1195,3,2669.45,2018-09-26
1201,1,9152.4,2018-10-03
1202,1,3050.8,2018-10-03
1203,1,10677.8,2018-10-03
1208,3,2288.1,2018-10-03
1209,3,762.7,2018-10-03
1210,3,2669.45,2018-10-03
1216,1,9152.4,2018-10-10
1217,1,3050.8,2018-10-10
1218,1,10677.8,2018-10-10
1220,1,3050.8,2018-10-10
1223,3,2288.1,2018-10-10
1224,3,762.7,2018-10-10
1225,3,2669.45,2018-10-10
1227,3,762.7,2018-10-10
1231,1,9152.4,2018-10-17
1232,1,3050.8,2018-10-17
1233,1,10677.8,2018-10-17
1238,3,2288.1,2018-10-17
1239,3,762.7,2018-10-17
1240,3,2669.45,2018-10-17
1246,1,9152.4,2018-10-24
1247,1,3050.8,2018-10-24
1248,1,10677.8,2018-10-24
1253,3,2288.1,2018-10-24
1254,3,762.7,2018-10-24
1255,3,2669.45,2018-10-24
1261,1,9152.4,2018-10-31
1262,1,3050.8,2018-10-31
1263,1,10677.8,2018-10-31
1268,3,2288.1,2018-10-31
1269,3,762.7,2018-10-31
1270,3,2669.45,2018-10-31
1276,1,9152.4,2018-11-07
1277,1,3050.8,2018-11-07
1278,1,10677.8,2018-11-07
1279,1,3050.8,2018-11-07
1283,3,2288.1,2018-11-07
1284,3,762.7,2018-11-07
1285,3,2669.45,2018-11-07
1286,3,762.7,2018-11-07
1291,1,9152.4,2018-11-14
1292,1,3050.8,2018-11-14
1293,1,10677.8,2018-11-14
1298,3,2288.1,2018-11-14
1299,3,762.7,2018-11-14
1300,3,2669.45,2018-11-14
1306,1,9152.4,2018-11-21
1307,1,3050.8,2018-11-21
1308,1,10677.8,2018-11-21
1313,3,2288.1,2018-11-21
1314,3,762.7,2018-11-21
1315,3,2669.45,2018-11-21
1321,1,9152.4,2018-11-28
1322,1,3050.8,2018-11-28
1323,1,10677.8,2018-11-28
1325,1,3050.8,2018-11-28
1328,3,2288.1,2018-11-28
1329,3,762.7,2018-11-28
1330,3,2669.45,2018-11-28
1332,3,762.7,2018-11-28
1336,1,9152.4,2018-12-05
1337,1,3050.8,2018-12-05
1338,1,10677.8,2018-12-05
1343,3,2288.1,2018-12-05
1344,3,762.7,2018-12-05
1345,3,2669.45,2018-12-05
1351,1,9152.4,2018-12-12
1352,1,3050.8,2018-12-12
1353,1,10677.8,2018-12-12
1356,1,4576.2,2018-12-12
1358,3,2288.1,2018-12-12
1359,3,762.7,2018-12-12
1360,3,2669.45,2018-12-12
1363,3,1144.05,2018-12-12
1366,1,9152.4,2018-12-19
1367,1,3050.8,2018-12-19
1368,1,10677.8,2018-12-19
1373,3,2288.1,2018-12-19
1374,3,762.7,2018-12-19
1375,3,2669.45,2018-12-19
1381,1,9152.4,2018-12-26
1382,1,3050.8,2018-12-26
1383,1,10677.8,2018-12-26
1388,3,2288.1,2018-12-26
1389,3,762.7,2018-12-26
1390,3,2669.45,2018-12-26
1396,1,9152.4,2019-01-02
1397,1,3050.8,2019-01-02
1398,1,10677.8,2019-01-02
1403,3,2288.1,2019-01-02
1404,3,762.7,2019-01-02
1405,3,2669.45,2019-01-02
1411,1,9152.4,2019-01-09
1412,1,3050.8,2019-01-09
1413,1,10677.8,2019-01-09
1414,1,3050.8,2019-01-09
1418,3,2288.1,2019-01-09
1419,3,762.7,2019-01-09
1420,3,2669.45,2019-01-09
1421,3,762.7,2019-01-09
1426,1,9152.4,2019-01-16
1427,1,3050.8,2019-01-16
1428,1,10677.8,2019-01-16
1433,3,2288.1,2019-01-16
1434,3,762.7,2019-01-16
1435,3,2669.45,2019-01-16
1441,1,9152.4,2019-01-23
1442,1,3050.8,2019-01-23
1443,1,10677.8,2019-01-23
1445,1,3050.8,2019-01-23
1448,3,2288.1,2019-01-23
1449,3,762.7,2019-01-23
1450,3,2669.45,2019-01-23
1452,3,762.7,2019-01-23
1456,1,9152.4,2019-01-30
1457,1,3050.8,2019-01-30
1458,1,10677.8,2019-01-30
1463,3,2288.1,2019-01-30
1464,3,762.7,2019-01-30
1465,3,2669.45,2019-01-30
1471,1,9152.4,2019-02-06
1472,1,3050.8,2019-02-06
1473,1,10677.8,2019-02-06
1478,3,2288.1,2019-02-06
1479,3,762.7,2019-02-06
1480,3,2669.45,2019-02-06
1486,1,9152.4,2019-02-13
1487,1,3050.8,2019-02-13
1488,1,10677.8,2019-02-13
1493,3,2288.1,2019-02-13
1494,3,762.7,2019-02-13
1495,3,2669.45,2019-02-13
1501,1,9152.4,2019-02-20
1502,1,3050.8,2019-02-20
1503,1,10677.8,2019-02-20
1508,3,2288.1,2019-02-20
1509,3,762.7,2019-02-20
1510,3,2669.45,2019-02-20
1516,1,9152.4,2019-02-27
1517,1,3050.8,2019-02-27
1518,1,10677.8,2019-02-27
1521,1,4576.2,2019-02-27
1523,3,2288.1,2019-02-27
1524,3,762.7,2019-02-27
1525,3,2669.45,2019-02-27
1528,3,1144.05,2019-02-27
1531,1,9152.4,2019-03-06
1532,1,3050.8,2019-03-06
1533,1,10677.8,2019-03-06
1538,3,2288.1,2019-03-06
1539,3,762.7,2019-03-06
1540,3,2669.45,2019-03-06
1546,1,9152.4,2019-03-13
1547,1,3050.8,2019-03-13
1548,1,10677.8,2019-03-13
1553,3,2288.1,2019-03-13
1554,3,762.7,2019-03-13
1555,3,2669.45,2019-03-13
1561,1,9152.4,2019-03-20
1562,1,3050.8,2019-03-20
1563,1,10677.8,2019-03-20
1568,3,2288.1,2019-03-20
1569,3,762.7,2019-03-20
1570,3,2669.45,2019-03-20
1576,1,9152.4,2019-03-27
1577,1,3050.8,2019-03-27
1578,1,10677.8,2019-03-27
1583,3,2288.1,2019-03-27
1584,3,762.7,2019-03-27
1585,3,2669.45,2019-03-27
1591,1,9152.4,2019-04-03
1592,1,3050.8,2019-04-03
1593,1,10677.8,2019-04-03
1598,3,2288.1,2019-04-03
1599,3,762.7,2019-04-03
1600,3,2669.45,2019-04-03
1606,1,9152.4,2019-04-10
1607,1,3050.8,2019-04-10
1608,1,10677.8,2019-04-10
1613,3,2288.1,2019-04-10
1614,3,762.7,2019-04-10
1615,3,2669.45,2019-04-10
1621,1,9152.4,2019-04-17
1622,1,3050.8,2019-04-17
1623,1,10677.8,2019-04-17
1628,3,2288.1,2019-04-17
1629,3,762.7,2019-04-17
1630,3,2669.45,2019-04-17
1636,1,9152.4,2019-04-24
1637,1,3050.8,2019-04-24
1638,1,10677.8,2019-04-24
1643,3,2288.1,2019-04-24
1644,3,762.7,2019-04-24
1645,3,2669.45,2019-04-24
1651,1,9152.4,2019-05-01
1652,1,3050.8,2019-05-01
1653,1,10677.8,2019-05-01
1658,3,2288.1,2019-05-01
1659,3,762.7,2019-05-01
1660,3,2669.45,2019-05-01
1666,1,9152.4,2019-05-08
1667,1,3050.8,2019-05-08
1668,1,10677.8,2019-05-08
1673,3,2288.1,2019-05-08
1674,3,762.7,2019-05-08
1675,3,2669.45,2019-05-08
1681,1,9152.4,2019-05-15
1682,1,3050.8,2019-05-15
1683,1,10677.8,2019-05-15
1688,3,2288.1,2019-05-15
1689,3,762.7,2019-05-15
1690,3,2669.45,2019-05-15
1696,1,9152.4,2019-05-22
1697,1,3050.8,2019-05-22
1698,1,10677.8,2019-05-22
1703,3,2288.1,2019-05-22
1704,3,762.7,2019-05-22
1705,3,2669.45,2019-05-22
1711,1,9152.4,2019-05-29
1712,1,3050.8,2019-05-29
1713,1,10677.8,2019-05-29
1718,3,2288.1,2019-05-29
1719,3,762.7,2019-05-29
1720,3,2669.45,2019-05-29
1726,1,9152.4,2019-06-05
1727,1,3050.8,2019-06-05
1728,1,10677.8,2019-06-05
1733,3,2288.1,2019-06-05
1734,3,762.7,2019-06-05
1735,3,2669.45,2019-06-05
1741,1,9152.4,2019-06-12
1742,1,3050.8,2019-06-12
1743,1,10677.8,2019-06-12
1748,3,2288.1,2019-06-12
1749,3,762.7,2019-06-12
1750,3,2669.45,2019-06-12
1756,1,9152.4,2019-06-19
1757,1,3050.8,2019-06-19
1758,1,10677.8,2019-06-19
1759,1,3050.8,2019-06-19
1761,1,4576.2,2019-06-19
1763,3,2288.1,2019-06-19
1764,3,762.7,2019-06-19
1765,3,2669.45,2019-06-19
1766,3,762.7,2019-06-19
1768,3,1144.05,2019-06-19
1771,1,9152.4,2019-06-26
1772,1,3050.8,2019-06-26
1773,1,10677.8,2019-06-26
1778,3,2288.1,2019-06-26
1779,3,762.7,2019-06-26
1780,3,2669.45,2019-06-26
1786,1,9152.4,2019-07-03
1787,1,3050.8,2019-07-03
1788,1,10677.8,2019-07-03
1791,1,4576.2,2019-07-03
1793,3,2288.1,2019-07-03
1794,3,762.7,2019-07-03
1795,3,2669.45,2019-07-03
1798,3,1144.05,2019-07-03
1801,1,9152.4,2019-07-10
1802,1,3050.8,2019-07-10
1803,1,10677.8,2019-07-10
1808,3,2288.1,2019-07-10
1809,3,762.7,2019-07-10
1810,3,2669.45,2019-07-10
1816,1,9152.4,2019-07-17
1817,1,3050.8,2019-07-17
1818,1,10677.8,2019-07-17
1819,1,3050.8,2019-07-17
1823,3,2288.1,2019-07-17
1824,3,762.7,2019-07-17
1825,3,2669.45,2019-07-17
1826,3,762.7,2019-07-17
1831,1,9152.4,2019-07-24
1832,1,3050.8,2019-07-24
1833,1,10677.8,2019-07-24
1838,3,2288.1,2019-07-24
1839,3,762.7,2019-07-24
1840,3,2669.45,2019-07-24
1846,1,9152.4,2019-07-31
1847,1,3050.8,2019-07-31
1848,1,10677.8,2019-07-31
1850,1,3050.8,2019-07-31
1853,3,2288.1,2019-07-31
1854,3,762.7,2019-07-31
1855,3,2669.45,2019-07-31
1857,3,762.7,2019-07-31
1861,1,9152.4,2019-08-07
1862,1,3050.8,2019-08-07
1863,1,10677.8,2019-08-07
1868,3,2288.1,2019-08-07
1869,3,762.7,2019-08-07
1870,3,2669.45,2019-08-07
1876,1,9152.4,2019-08-14
1877,1,3050.8,2019-08-14
1878,1,10677.8,2019-08-14
1880,1,3050.8,2019-08-14
1883,3,2288.1,2019-08-14
1884,3,762.7,2019-08-14
1885,3,2669.45,2019-08-14
1887,3,762.7,2019-08-14
1891,1,9152.4,2019-08-21
1892,1,3050.8,2019-08-21
1893,1,10677.8,2019-08-21
1898,3,2288.1,2019-08-21
1899,3,762.7,2019-08-21
1900,3,2669.45,2019-08-21
1906,1,9152.4,2019-08-28
1907,1,3050.8,2019-08-28
1908,1,10677.8,2019-08-28
1913,3,2288.1,2019-08-28
1914,3,762.7,2019-08-28
1915,3,2669.45,2019-08-28
1921,1,9152.4,2019-09-04
1922,1,3050.8,2019-09-04
1923,1,10677.8,2019-09-04
1924,1,3050.8,2019-09-04
1928,3,2288.1,2019-09-04
1929,3,762.7,2019-09-04
1930,3,2669.45,2019-09-04
1931,3,762.7,2019-09-04
1936,1,9152.4,2019-09-11
1937,1,3050.8,2019-09-11
1938,1,10677.8,2019-09-11
1943,3,2288.1,2019-09-11
1944,3,762.7,2019-09-11
1945,3,2669.45,2019-09-11
1951,1,9152.4,2019-09-18
1952,1,3050.8,2019-09-18
1953,1,10677.8,2019-09-18
1958,3,2288.1,2019-09-18
1959,3,762.7,2019-09-18
1960,3,2669.45,2019-09-18
1966,1,9152.4,2019-09-25
1967,1,3050.8,2019-09-25
1968,1,10677.8,2019-09-25
1970,1,3050.8,2019-09-25
