fund_id,Amount,fund price on
1,1.138,2016-03-13
1,1.128,2016-03-15
1,1.315,2016-03-16
1,1.203,2016-03-17
1,1.242,2016-03-21
1,1.197,2016-03-24
1,1.153,2016-03-27
1,1.126,2016-03-29
1,1.318,2016-03-30
1,1.215,2016-03-31
1,1.281,2016-04-04
1,1.21,2016-04-07
1,1.153,2016-04-10
1,1.112,2016-04-12
1,1.319,2016-04-13
1,1.219,2016-04-14
1,1.286,2016-04-18
1,1.193,2016-04-21
1,1.154,2016-04-24
1,1.178,2016-04-26
1,1.316,2016-04-27
1,0.965,2016-04-28
1,1.134,2016-05-01
1,1.287,2016-05-02
1,1.004,2016-05-05
1,1.154,2016-05-08
1,1.174,2016-05-10
1,1.321,2016-05-11
1,1.025,2016-05-12
1,1.3,2016-05-16
1,1.124,2016-05-19
1,1.159,2016-05-22
1,1.171,2016-05-24
1,1.322,2016-05-25
1,1.132,2016-05-26
1,1.114,2016-05-29
1,1.289,2016-05-30
1,1.116,2016-06-02
1,1.166,2016-06-05
1,1.176,2016-06-07
1,1.326,2016-06-08
1,1.089,2016-06-09
1,1.314,2016-06-13
1,1.221,2016-06-16
1,1.169,2016-06-19
1,1.201,2016-06-21
1,1.334,2016-06-22
1,1.242,2016-06-23
1,1.116,2016-06-26
1,1.32,2016-06-27
1,1.263,2016-06-30
1,1.161,2016-07-01
1,1.341,2016-07-02
1,1.154,2016-07-03
1,1.167,2016-07-05
1,1.333,2016-07-06
1,1.293,2016-07-07
1,1.336,2016-07-11
1,1.351,2016-07-14
1,1.212,2016-07-15
1,1.353,2016-07-16
1,1.166,2016-07-17
1,1.167,2016-07-19
1,1.337,2016-07-20
1,1.397,2016-07-21
1,1.116,2016-07-24
1,1.34,2016-07-25
1,1.364,2016-07-28
1,1.203,2016-07-29
1,1.393,2016-07-30
1,1.175,2016-07-31
1,1.158,2016-08-02
1,1.336,2016-08-03
1,1.126,2016-08-04
1,1.326,2016-08-07
1,1.359,2016-08-08
1,1.142,2016-08-11
1,1.206,2016-08-12
1,1.38,2016-08-13
1,1.15,2016-08-14
1,1.173,2016-08-16
1,1.344,2016-08-17
1,1.192,2016-08-18
1,1.114,2016-08-21
1,1.385,2016-08-22
1,1.177,2016-08-25
1,1.224,2016-08-26
1,1.174,2016-08-27
1,1.15,2016-08-28
1,1.156,2016-08-30
1,1.341,2016-08-31
1,1.147,2016-09-01
1,1.328,2016-09-04
1,1.399,2016-09-05
1,1.158,2016-09-08
1,1.235,2016-09-09
1,1.368,2016-09-10
1,1.145,2016-09-11
1,1.163,2016-09-13
1,1.357,2016-09-14
1,1.114,2016-09-15
1,1.115,2016-09-18
1,1.188,2016-09-19
1,1.062,2016-09-22
1,1.231,2016-09-23
1,1.181,2016-09-24
1,1.16,2016-09-25
1,1.173,2016-09-27
1,1.36,2016-09-28
1,1.038,2016-09-29
1,1.157,2016-10-02
1,1.113,2016-10-03
1,1.04,2016-10-06
1,1.219,2016-10-07
1,1.394,2016-10-08
1,1.192,2016-10-09
1,1.159,2016-10-11
1,1.344,2016-10-12
1,1.063,2016-10-13
1,1.128,2016-10-16
1,1.235,2016-10-17
1,1.081,2016-10-20
1,1.201,2016-10-21
1,1.193,2016-10-22
1,1.192,2016-10-23
1,1.156,2016-10-25
1,1.344,2016-10-26
1,1.078,2016-10-27
1,1.193,2016-10-30
1,1.217,2016-10-31
1,1.101,2016-11-03
1,1.236,2016-11-04
1,1.399,2016-11-05
1,1.198,2016-11-06
1,1.166,2016-11-08
1,1.33,2016-11-09
1,1.112,2016-11-10
1,1.123,2016-11-13
1,1.321,2016-11-14
1,1.134,2016-11-17
1,1.23,2016-11-18
1,1.213,2016-11-19
1,1.198,2016-11-20
1,1.175,2016-11-22
1,1.345,2016-11-23
1,1.168,2016-11-24
1,1.212,2016-11-27
1,1.329,2016-11-28
1,1.154,2016-12-01
1,1.278,2016-12-02
1,1.374,2016-12-03
1,1.2,2016-12-04
1,1.165,2016-12-06
1,1.322,2016-12-07
1,1.172,2016-12-08
1,1.113,2016-12-11
1,1.342,2016-12-12
1,1.149,2016-12-15
1,1.281,2016-12-16
1,1.212,2016-12-17
1,1.192,2016-12-18
1,1.171,2016-12-20
1,1.322,2016-12-21
1,1.159,2016-12-22
1,1.205,2016-12-25
1,1.374,2016-12-26
1,1.21,2016-12-29
1,1.245,2016-12-30
1,1.372,2016-12-31
1,1.206,2017-01-01
1,1.198,2017-01-03
1,1.315,2017-01-04
1,1.203,2017-01-05
1,1.123,2017-01-08
1,1.007,2017-01-09
1,1.131,2017-01-12
1,1.262,2017-01-13
1,1.199,2017-01-14
1,1.212,2017-01-15
1,1.184,2017-01-17
1,1.325,2017-01-18
1,1.119,2017-01-19
1,1.205,2017-01-22
1,1.272,2017-01-23
1,1.132,2017-01-26
1,1.279,2017-01-27
1,1.15,2017-01-28
1,1.223,2017-01-29
1,1.2,2017-01-31
1,1.352,2017-02-01
1,1.127,2017-02-02
1,1.136,2017-02-05
1,1.262,2017-02-06
1,1.118,2017-02-09
1,1.307,2017-02-10
1,1.202,2017-02-11
1,1.219,2017-02-12
1,1.208,2017-02-14
1,1.352,2017-02-15
1,1.127,2017-02-16
1,1.218,2017-02-19
1,1.041,2017-02-20
1,1.189,2017-02-23
1,1.317,2017-02-24
1,1.097,2017-02-25
1,1.198,2017-02-26
1,1.222,2017-02-28
1,1.356,2017-03-01
1,1.203,2017-03-02
1,1.113,2017-03-05
1,1.07,2017-03-06
1,1.226,2017-03-09
1,1.304,2017-03-10
1,1.207,2017-03-11
1,1.185,2017-03-12
1,1.219,2017-03-14
1,1.367,2017-03-15
1,1.229,2017-03-16
1,1.242,2017-03-19
1,1.159,2017-03-20
1,1.003,2017-03-22
1,1.236,2017-03-23
1,1.341,2017-03-24
1,1.038,2017-03-25
1,1.193,2017-03-26
1,1.193,2017-03-28
1,1.013,2017-03-29
1,1.261,2017-03-30
1,1.114,2017-04-02
1,1.056,2017-04-03
1,1.019,2017-04-05
1,1.263,2017-04-06
1,1.353,2017-04-07
1,1.207,2017-04-08
1,1.213,2017-04-09
1,1.21,2017-04-11
1,1.019,2017-04-12
1,1.313,2017-04-13
1,1.228,2017-04-16
1,1.053,2017-04-17
1,1.367,2017-04-18
1,1.019,2017-04-19
1,1.324,2017-04-20
1,1.356,2017-04-21
1,1.132,2017-04-22
1,1.21,2017-04-23
1,1.212,2017-04-25
1,1.011,2017-04-26
1,1.344,2017-04-27
1,1.121,2017-04-30
1,1.059,2017-05-01
1,1.393,2017-05-02
1,1.019,2017-05-03
1,1.326,2017-05-04
1,1.174,2017-05-05
1,1.203,2017-05-06
1,1.213,2017-05-07
1,1.169,2017-05-09
1,1.021,2017-05-10
1,1.391,2017-05-11
1,1.162,2017-05-12
1,1.227,2017-05-14
1,1.052,2017-05-15
1,1.383,2017-05-16
1,1.019,2017-05-17
1,1.106,2017-05-18
1,1.167,2017-05-19
1,1.122,2017-05-20
1,1.213,2017-05-21
1,1.149,2017-05-23
1,1.019,2017-05-24
1,1.046,2017-05-25
1,1.174,2017-05-26
1,1.131,2017-05-28
1,1.027,2017-05-29
1,1.321,2017-05-30
1,1.014,2017-05-31
1,1.047,2017-06-01
1,1.174,2017-06-02
1,1.205,2017-06-03
1,1.212,2017-06-04
1,1.057,2017-06-06
1,1.029,2017-06-07
1,1.081,2017-06-08
1,1.173,2017-06-09
1,1.235,2017-06-11
1,1.069,2017-06-12
1,0.991,2017-06-13
1,1.033,2017-06-14
1,1.063,2017-06-15
1,1.174,2017-06-16
1,1.108,2017-06-17
1,1.212,2017-06-18
1,0.99,2017-06-20
1,1.033,2017-06-21
1,1.115,2017-06-22
1,1.19,2017-06-23
1,1.139,2017-06-25
1,1.081,2017-06-26
1,1.102,2017-06-27
1,1.048,2017-06-28
1,1.117,2017-06-29
1,1.153,2017-06-30
1,1.215,2017-07-01
1,1.212,2017-07-02
1,0.922,2017-07-04
1,1.048,2017-07-05
1,1.146,2017-07-06
1,1.14,2017-07-07
1,1.231,2017-07-09
1,1.11,2017-07-10
1,1.201,2017-07-11
1,1.056,2017-07-12
1,1.167,2017-07-13
1,1.166,2017-07-14
1,1.117,2017-07-15
1,1.105,2017-07-16
1,1.334,2017-07-17
1,0.984,2017-07-18
1,1.064,2017-07-19
1,1.171,2017-07-20
1,1.173,2017-07-21
1,1.129,2017-07-23
1,1.122,2017-07-24
1,1.235,2017-07-25
1,1.084,2017-07-26
1,1.203,2017-07-27
1,1.148,2017-07-28
1,1.215,2017-07-29
1,1.1,2017-07-30
1,1.014,2017-08-01
1,1.09,2017-08-02
1,1.322,2017-08-03
1,1.194,2017-08-04
1,1.207,2017-08-06
1,1.127,2017-08-07
1,1.235,2017-08-08
1,1.092,2017-08-09
1,1.117,2017-08-10
1,1.209,2017-08-11
1,1.146,2017-08-12
1,0.917,2017-08-13
1,1.345,2017-08-14
1,1.018,2017-08-15
1,1.088,2017-08-16
1,1.03,2017-08-17
1,1.218,2017-08-18
1,1.127,2017-08-20
1,1.116,2017-08-21
1,1.208,2017-08-22
1,1.118,2017-08-23
1,1.17,2017-08-24
1,0.896,2017-08-25
1,1.228,2017-08-26
1,0.912,2017-08-27
1,1.03,2017-08-29
1,1.029,2017-08-30
1,1.15,2017-08-31
1,0.971,2017-09-01
1,1.21,2017-09-03
1,1.119,2017-09-04
1,1.286,2017-09-05
1,1.056,2017-09-06
1,1.145,2017-09-07
1,0.964,2017-09-08
1,1.143,2017-09-09
1,0.984,2017-09-10
1,1.326,2017-09-11
1,1.041,2017-09-12
1,1.089,2017-09-13
1,1.151,2017-09-14
1,0.956,2017-09-15
1,1.104,2017-09-17
1,1.134,2017-09-18
1,1.324,2017-09-19
1,1.082,2017-09-20
1,1.154,2017-09-21
1,1.022,2017-09-22
1,1.225,2017-09-23
1,0.964,2017-09-24
1,1.061,2017-09-26
1,1.1,2017-09-27
1,1.175,2017-09-28
1,1.078,2017-09-29
1,1.23,2017-10-01
1,1.176,2017-10-02
1,1.328,2017-10-03
1,1.107,2017-10-04
1,1.192,2017-10-05
1,1.068,2017-10-06
1,1.2,2017-10-07
1,1,2017-10-08
1,1.337,2017-10-09
1,1.049,2017-10-10
1,1.124,2017-10-11
1,1.184,2017-10-12
1,1.097,2017-10-13
1,1.134,2017-10-15
1,1.19,2017-10-16
1,1.337,2017-10-17
1,1.081,2017-10-18
1,1.2,2017-10-19
1,1.133,2017-10-20
1,1.226,2017-10-21
1,1.008,2017-10-22
1,1.035,2017-10-24
1,1.096,2017-10-25
1,1.201,2017-10-26
1,1.117,2017-10-27
1,1.221,2017-10-29
1,1.166,2017-10-30
1,1.399,2017-10-31
1,1.109,2017-11-01
1,1.209,2017-11-02
1,1.132,2017-11-03
1,1.232,2017-11-04
1,1.008,2017-11-05
1,1.356,2017-11-06
1,1.125,2017-11-07
1,1.106,2017-11-08
1,0.953,2017-11-09
1,1.104,2017-11-10
1,1.143,2017-11-12
1,1.198,2017-11-13
1,1.374,2017-11-14
1,1.12,2017-11-15
1,1.008,2017-11-16
1,1.121,2017-11-17
1,1.23,2017-11-18
1,1.008,2017-11-19
1,1.106,2017-11-21
1,1.113,2017-11-22
1,1.122,2017-11-23
1,1.107,2017-11-24
1,1.232,2017-11-26
1,1.192,2017-11-27
1,1.215,2017-11-28
1,1.108,2017-11-29
1,1.122,2017-11-30
1,1.104,2017-12-01
1,1.323,2017-12-02
1,1.025,2017-12-03
1,1.393,2017-12-04
1,1.122,2017-12-05
1,1.066,2017-12-06
1,1.106,2017-12-07
1,1.116,2017-12-08
1,1.127,2017-12-10
1,1.211,2017-12-11
1,1.068,2017-12-12
1,1.087,2017-12-13
1,1.127,2017-12-14
1,1.155,2017-12-15
1,1.233,2017-12-16
1,1.008,2017-12-17
1,1.13,2017-12-19
1,1.033,2017-12-20
1,1.122,2017-12-21
1,1.205,2017-12-22
1,1.273,2017-12-24
1,1.223,2017-12-25
1,1.115,2017-12-26
1,1.037,2017-12-27
1,1.114,2017-12-28
1,1.24,2017-12-29
1,1.344,2017-12-30
1,1.022,2017-12-31
1,1.387,2018-01-01
1,1.125,2018-01-02
1,1.083,2018-01-03
1,1.098,2018-01-04
1,1.232,2018-01-05
1,1.124,2018-01-07
1,1.185,2018-01-08
1,1.276,2018-01-09
1,1.083,2018-01-10
1,1.116,2018-01-11
1,1.274,2018-01-12
1,1.205,2018-01-13
1,1.04,2018-01-14
1,1.125,2018-01-16
1,1.097,2018-01-17
1,1.127,2018-01-18
1,1.296,2018-01-19
1,1.286,2018-01-21
1,1.105,2018-01-22
1,1.329,2018-01-23
1,1.019,2018-01-24
1,1.116,2018-01-25
1,1.299,2018-01-26
1,1.314,2018-01-27
1,1.052,2018-01-28
1,1.368,2018-01-29
1,1.123,2018-01-30
1,1.053,2018-01-31
1,1.115,2018-02-01
1,1.314,2018-02-02
1,1.115,2018-02-04
1,1.014,2018-02-05
1,1.391,2018-02-06
1,1.088,2018-02-07
1,1.092,2018-02-08
1,1.322,2018-02-09
1,1.205,2018-02-10
1,1.046,2018-02-11
1,1.181,2018-02-13
1,1.081,2018-02-14
1,1.098,2018-02-15
1,1.317,2018-02-16
1,1.273,2018-02-18
1,1.041,2018-02-19
1,0.956,2018-02-20
1,1.091,2018-02-21
1,1.079,2018-02-22
1,1.321,2018-02-23
1,1.325,2018-02-24
1,1.038,2018-02-25
1,1.363,2018-02-26
1,1.19,2018-02-27
1,1.087,2018-02-28
1,1.112,2018-03-01
1,1.314,2018-03-02
1,1.131,2018-03-04
1,1.121,2018-03-05
1,1.111,2018-03-06
1,1.12,2018-03-07
1,1.11,2018-03-08
1,1.324,2018-03-09
1,1.198,2018-03-10
1,1.059,2018-03-11
1,1.224,2018-03-13
1,1.112,2018-03-14
1,1.086,2018-03-15
1,1.333,2018-03-16
1,1.1,2018-03-17
1,1.262,2018-03-18
1,1.193,2018-03-19
1,1.205,2018-03-20
1,1.106,2018-03-21
1,1.05,2018-03-22
1,1.352,2018-03-23
1,1.346,2018-03-24
1,1.001,2018-03-25
1,1.4,2018-03-26
1,1.205,2018-03-27
1,1.047,2018-03-28
1,1.001,2018-03-29
1,1.389,2018-03-30
1,1.039,2018-03-31
1,1.154,2018-04-01
1,1.256,2018-04-02
1,1.204,2018-04-03
1,1.084,2018-04-04
1,1.1,2018-04-05
1,1.374,2018-04-06
1,1.223,2018-04-07
1,1.031,2018-04-08
1,1.229,2018-04-10
1,1.064,2018-04-11
1,1.04,2018-04-12
1,1.385,2018-04-13
1,0.985,2018-04-14
1,1.276,2018-04-15
1,1.314,2018-04-16
1,1.116,2018-04-17
1,1.129,2018-04-18
1,1.039,2018-04-19
1,1.16,2018-04-20
1,1.393,2018-04-21
1,1.095,2018-04-22
1,1.385,2018-04-23
1,1.273,2018-04-24
1,1.165,2018-04-25
1,1.154,2018-04-26
1,1.178,2018-04-27
1,1.025,2018-04-28
1,1.168,2018-04-29
1,1.326,2018-04-30
1,1.134,2018-05-01
1,1.056,2018-05-02
1,1.165,2018-05-03
1,1.142,2018-05-04
1,1.226,2018-05-05
1,1.031,2018-05-06
1,1.316,2018-05-08
1,1.105,2018-05-09
1,0.937,2018-05-10
1,1.143,2018-05-11
1,1.031,2018-05-12
1,1.284,2018-05-13
1,1.125,2018-05-14
1,1.345,2018-05-15
1,1.04,2018-05-16
1,1.061,2018-05-17
1,1.221,2018-05-18
1,1.39,2018-05-19
1,1.128,2018-05-20
1,1.12,2018-05-21
1,1.342,2018-05-22
1,1.059,2018-05-23
1,1.084,2018-05-24
1,1.242,2018-05-25
1,1.022,2018-05-26
1,1.161,2018-05-27
1,1.101,2018-05-28
1,1.377,2018-05-29
1,1.146,2018-05-30
1,1.083,2018-05-31
1,1.299,2018-06-01
1,1.229,2018-06-02
1,1.057,2018-06-03
1,1.349,2018-06-05
1,1.168,2018-06-06
1,1.103,2018-06-07
1,1.344,2018-06-08
1,1.041,2018-06-09
1,1.279,2018-06-10
1,1.09,2018-06-11
1,1.168,2018-06-12
1,1.02,2018-06-13
1,1.107,2018-06-14
1,1.396,2018-06-15
1,1.106,2018-06-16
1,1.154,2018-06-17
1,0.984,2018-06-18
1,1.37,2018-06-19
1,1.019,2018-06-20
1,1.087,2018-06-21
1,1.367,2018-06-22
1,1.102,2018-06-23
1,1.161,2018-06-24
1,1.05,2018-06-25
1,1.153,2018-06-26
1,1.056,2018-06-27
1,1.04,2018-06-28
1,1.378,2018-06-29
1,1.235,2018-06-30
1,1.069,2018-07-01
1,1.393,2018-07-03
1,1.07,2018-07-04
1,1.039,2018-07-05
1,1.281,2018-07-06
1,1.122,2018-07-07
1,1.307,2018-07-08
1,1.054,2018-07-09
1,1.352,2018-07-10
1,1.081,2018-07-11
1,1.057,2018-07-12
1,1.129,2018-07-13
1,1.344,2018-07-14
1,1.209,2018-07-15
1,1.023,2018-07-16
1,1.383,2018-07-17
1,1.08,2018-07-18
1,1.061,2018-07-19
1,1.242,2018-07-20
1,1.391,2018-07-21
1,1.172,2018-07-22
1,1.033,2018-07-23
1,1.371,2018-07-24
1,1.058,2018-07-25
1,1.104,2018-07-26
1,1.053,2018-07-27
1,1.238,2018-07-28
1,1.078,2018-07-29
1,1.057,2018-07-31
1,1.056,2018-08-01
1,1.104,2018-08-02
1,1.041,2018-08-03
1,1.38,2018-08-04
1,1.317,2018-08-05
1,1.131,2018-08-06
1,1.15,2018-08-07
1,1.088,2018-08-08
1,1.125,2018-08-09
1,1.108,2018-08-10
1,1.128,2018-08-11
1,1.12,2018-08-12
1,1.117,2018-08-13
1,1.007,2018-08-14
1,1.088,2018-08-15
1,1.146,2018-08-16
1,1.059,2018-08-17
1,1.381,2018-08-18
1,1.133,2018-08-19
1,1.168,2018-08-20
1,1.15,2018-08-21
1,1.091,2018-08-22
1,1.172,2018-08-23
1,1.008,2018-08-24
1,1.231,2018-08-25
1,1.104,2018-08-26
1,1.03,2018-08-28
1,1.109,2018-08-29
1,1.172,2018-08-30
1,1.116,2018-08-31
1,1.396,2018-09-01
1,1.309,2018-09-02
1,1.084,2018-09-03
1,1.164,2018-09-04
1,1.049,2018-09-05
1,1.172,2018-09-06
1,1.049,2018-09-07
1,1.274,2018-09-08
1,1.092,2018-09-09
1,1.098,2018-09-10
1,1.03,2018-09-11
1,1.109,2018-09-12
1,1.16,2018-09-13
1,1.012,2018-09-14
1,1.37,2018-09-15
1,0.906,2018-09-16
1,1.108,2018-09-17
1,1.019,2018-09-18
1,1.082,2018-09-19
1,1.154,2018-09-20
1,1.036,2018-09-21
1,1.2,2018-09-22
1,1.097,2018-09-23
1,1.079,2018-09-25
1,1.084,2018-09-26
1,1.107,2018-09-27
1,1.067,2018-09-28
1,1.084,2018-09-29
1,1.326,2018-09-30
1,1.045,2018-10-01
1,1.022,2018-10-02
1,1.104,2018-10-03
1,1.097,2018-10-04
1,1.125,2018-10-05
1,1.146,2018-10-06
1,1.007,2018-10-07
1,1.106,2018-10-08
1,1.067,2018-10-09
1,1.114,2018-10-10
1,1.097,2018-10-11
1,1.133,2018-10-12
1,1.28,2018-10-13
1,0.969,2018-10-14
1,1.086,2018-10-15
1,1.058,2018-10-16
1,1.08,2018-10-17
1,1.108,2018-10-18
1,1.131,2018-10-19
1,1.2,2018-10-20
1,1.097,2018-10-21
1,1.101,2018-10-23
1,1.125,2018-10-24
1,1.096,2018-10-25
1,1.104,2018-10-26
1,1.356,2018-10-27
1,1.13,2018-10-28
1,1.106,2018-10-29
1,1.097,2018-10-30
1,1.171,2018-10-31
1,1.085,2018-11-01
1,1.097,2018-11-02
1,1.17,2018-11-03
1,1.046,2018-11-04
1,1.13,2018-11-05
1,1.104,2018-11-06
1,1.026,2018-11-07
1,1.1,2018-11-08
1,1.122,2018-11-09
1,1.395,2018-11-10
1,1.041,2018-11-11
1,1.082,2018-11-12
1,1.1,2018-11-13
1,1.056,2018-11-14
1,1.094,2018-11-15
1,1.139,2018-11-16
1,1.216,2018-11-17
1,1.119,2018-11-18
1,1.116,2018-11-20
1,1.095,2018-11-21
1,1.112,2018-11-22
1,1.171,2018-11-23
1,1.185,2018-11-24
1,1.117,2018-11-25
1,1.104,2018-11-26
1,1.125,2018-11-27
1,1.091,2018-11-28
1,1.107,2018-11-29
1,1.173,2018-11-30
1,1.177,2018-12-01
1,1.174,2018-12-02
1,1.13,2018-12-03
1,1.118,2018-12-04
1,1.084,2018-12-05
1,1.097,2018-12-06
1,1.155,2018-12-07
1,1.118,2018-12-08
1,1.122,2018-12-09
1,1.125,2018-12-10
1,1.122,2018-12-11
1,1.084,2018-12-12
1,1.04,2018-12-13
1,1.158,2018-12-14
1,1.204,2018-12-15
1,1.116,2018-12-16
1,1.12,2018-12-18
1,1.082,2018-12-19
1,1.119,2018-12-20
1,1.138,2018-12-21
1,1.13,2018-12-22
1,1.139,2018-12-23
1,1.092,2018-12-24
1,1.122,2018-12-25
1,1.09,2018-12-26
1,1.088,2018-12-27
1,1.173,2018-12-28
1,1.174,2018-12-29
1,1.107,2018-12-30
1,1.235,2018-12-31
1,1.131,2019-01-01
1,1.056,2019-01-02
1,1.1,2019-01-03
1,1.17,2019-01-04
1,1.173,2019-01-05
1,1.113,2019-01-06
1,1.086,2019-01-07
1,1.139,2019-01-08
1,1.033,2019-01-09
1,1.043,2019-01-10
1,1.181,2019-01-11
1,1.204,2019-01-12
1,1.109,2019-01-13
1,1.151,2019-01-15
1,1.063,2019-01-16
1,1.037,2019-01-17
1,1.215,2019-01-18
1,1.185,2019-01-19
1,1.38,2019-01-20
1,1.029,2019-01-21
1,1.175,2019-01-22
1,1.09,2019-01-23
1,1.076,2019-01-24
1,1.035,2019-01-25
1,1.144,2019-01-26
1,1.105,2019-01-27
1,1.278,2019-01-28
1,1.178,2019-01-29
1,1.087,2019-01-30
1,1.07,2019-01-31
1,1.008,2019-02-01
1,1.183,2019-02-02
1,1.121,2019-02-03
1,1.028,2019-02-04
1,1.172,2019-02-05
1,1.08,2019-02-06
1,1.122,2019-02-07
1,1.105,2019-02-08
1,1.212,2019-02-09
1,1.087,2019-02-10
1,1.173,2019-02-12
1,1.096,2019-02-13
1,1.151,2019-02-14
1,1.129,2019-02-15
1,1.228,2019-02-16
1,1.369,2019-02-17
1,1.044,2019-02-18
1,1.282,2019-02-19
1,1.104,2019-02-20
1,1.089,2019-02-21
1,1.124,2019-02-22
1,1.173,2019-02-23
1,1.039,2019-02-24
1,1.256,2019-02-25
1,1.176,2019-02-26
1,1.126,2019-02-27
1,1.082,2019-02-28
1,1.107,2019-03-01
1,1.231,2019-03-02
1,1.121,2019-03-03
1,1.047,2019-03-04
1,1.396,2019-03-05
1,1.114,2019-03-06
1,1.088,2019-03-07
1,1.125,2019-03-08
1,1.23,2019-03-09
1,1.087,2019-03-10
1,1.157,2019-03-12
1,1.09,2019-03-13
1,1.089,2019-03-14
1,1.124,2019-03-15
1,1.228,2019-03-16
1,1.373,2019-03-17
1,1.073,2019-03-18
1,1.397,2019-03-19
1,1.078,2019-03-20
1,1.096,2019-03-21
1,1.124,2019-03-22
1,1.064,2019-03-23
1,1.001,2019-03-24
1,1.321,2019-03-25
1,1.149,2019-03-26
1,1.089,2019-03-27
1,1.084,2019-03-28
1,1.13,2019-03-29
1,1.238,2019-03-30
1,1.104,2019-03-31
1,1.125,2019-04-01
1,1.401,2019-04-02
1,1.09,2019-04-03
1,1.083,2019-04-04
1,1.106,2019-04-05
1,1.243,2019-04-06
1,1.087,2019-04-07
1,1.162,2019-04-09
1,1.126,2019-04-10
1,1.108,2019-04-11
1,1.136,2019-04-12
1,1.256,2019-04-13
1,1.395,2019-04-14
1,1.115,2019-04-15
1,1.064,2019-04-16
1,1.212,2019-04-17
1,1.099,2019-04-18
1,1.203,2019-04-19
1,1.117,2019-04-20
1,1.081,2019-04-21
1,1.341,2019-04-22
1,1.04,2019-04-23
1,1.084,2019-04-24
1,1.106,2019-04-25
1,1.229,2019-04-26
1,1.264,2019-04-27
1,1.203,2019-04-28
1,1.101,2019-04-29
1,1.039,2019-04-30
1,1.107,2019-05-01
1,1.112,2019-05-02
1,1.281,2019-05-03
1,1.236,2019-05-04
1,1.1,2019-05-05
1,1.067,2019-05-07
1,1.101,2019-05-08
1,1.113,2019-05-09
1,1.286,2019-05-10
1,1.279,2019-05-11
1,1.395,2019-05-12
1,1.178,2019-05-13
1,1.027,2019-05-14
1,1.115,2019-05-15
1,1.087,2019-05-16
1,1.284,2019-05-17
1,1.141,2019-05-18
1,1.096,2019-05-19
1,1.349,2019-05-20
1,1.167,2019-05-21
1,1.114,2019-05-22
1,1.084,2019-05-23
1,1.299,2019-05-24
1,1.293,2019-05-25
1,1.257,2019-05-26
1,1.171,2019-05-27
1,1.127,2019-05-28
1,1.107,2019-05-29
1,1.05,2019-05-30
1,1.339,2019-05-31
1,1.231,2019-06-01
1,1.117,2019-06-02
1,1.113,2019-06-04
1,1.109,2019-06-05
1,1.056,2019-06-06
1,1.038,2019-06-07
1,1.204,2019-06-08
1,1.395,2019-06-09
1,1.18,2019-06-10
1,1.111,2019-06-11
1,1.063,2019-06-12
1,1.062,2019-06-13
1,1.159,2019-06-14
1,1.118,2019-06-15
1,1.105,2019-06-16
1,1.353,2019-06-17
1,1.139,2019-06-18
1,1.042,2019-06-19
1,1.036,2019-06-20
1,1.385,2019-06-21
1,0.922,2019-06-22
1,1.287,2019-06-23
1,1.168,2019-06-24
1,1.146,2019-06-25
