,sugar_to_flour_ratio,sugar_index,bake_temp,chill_time,calories,density,pH,grams_baking_soda,bake_time,quality,butter_type,weight,mixins,crunch_factor
132,0.24,14.0,480,24.0,113.0,0.9982,8.44,0.53,9.8,8,melted,13.0,"nuts, chocolate",1.14
133,0.21,2.0,390,21.0,120.0,0.99188,8.0,1.0,12.6,8,melted,19.2,"nuts, oats, chocolate",1.82
134,0.32,5.8,410,20.0,119.0,0.99296,8.17,0.55,11.2,8,melted,13.8,chocolate,1.04
135,0.45,8.6,570,47.0,223.0,0.99654,8.16,0.51,9.1,7,melted,12.8,chocolate,1.54
136,0.7,12.15,390,21.0,158.0,0.9983,8.0,0.73,9.3,8,melted,17.2,raisins,1.23
137,0.33,1.4,290,35.0,138.0,0.99114,8.36,0.6,11.5,9,melted,13.0,"chocolate, oats",1.12
138,0.41,1.4,160,6.0,55.0,0.98876,8.16,0.4,13.4,7,melted,13.8,chocolate,1.84
139,0.55,5.9,450,75.0,162.0,0.99482,7.97,0.4,9.3,7,melted,13.0,"chocolate, oats",1.97
140,0.21,2.3,870,21.0,68.0,0.9955,8.12,0.44,9.2,5,cubed,15.2,"nuts, oats",1.34
141,0.3,12.8,620,19.0,171.0,0.99808,8.0,0.52,9.0,9,melted,13.6,"chocolate, oats",1.39
142,0.12,11.5,330,35.0,165.0,0.9974,8.22,0.32,9.0,7,melted,13.0,raisins,1.27
143,0.37,1.4,740,12.0,96.0,0.9954,8.32,0.58,9.2,5,cubed,11.2,raisins,1.72
144,0.51,15.3,470,54.0,171.0,0.9987,8.09,0.51,9.1,7,melted,15.8,raisins,1.11
145,0.31,2.4,740,9.0,46.0,0.9962,8.41,0.54,9.4,6,cubed,14.6,raisins,1.02
146,0.47,6.5,610,23.0,150.0,0.9954,8.14,0.45,9.6,8,melted,13.2,raisins,1.55
147,0.31,1.2,260,31.0,68.0,0.9898,8.33,0.44,11.65,8,melted,11.0,"chocolate, oats",1.2
148,0.24,12.6,440,48.0,118.0,0.99726,8.04,0.56,10.0,9,melted,14.2,chocolate,1.68
149,0.32,1.1,390,25.0,78.0,0.9926,8.39,0.54,10.2,9,melted,13.2,chocolate,1.98
150,0.19,4.2,460,6.0,114.0,0.9955,8.25,0.35,8.6,6,melted,13.0,chocolate,1.21
151,0.19,7.1,480,36.0,110.0,0.99438,8.26,0.41,9.5,8,melted,10.8,"chocolate, oats",1.48
152,0.17,8.2,400,13.0,60.0,0.9956,8.09,0.3,9.5,6,melted,16.0,"nuts,raisins",1.48
153,0.28,4.5,510,14.0,92.0,0.99224,8.36,0.58,11.9,8,melted,13.4,chocolate,1.17
154,0.65,8.3,830,27.0,182.0,0.9964,8.0,0.35,9.2,7,melted,14.4,"nuts, chocolate",1.64
155,0.33,1.2,330,20.0,72.0,0.9922,8.12,0.38,10.5,9,melted,15.8,"chocolate, oats",1.56
156,0.42,1.5,410,35.0,125.0,0.9925,8.11,0.49,11.4,9,melted,17.2,chocolate,1.45
157,0.0,1.9,970,14.0,38.0,0.99675,8.37,0.58,9.0,6,cubed,14.4,"nuts, oats, chocolate",1.2
158,0.28,2.2,420,21.0,177.0,0.99166,8.2,0.57,11.4,7,melted,14.0,raisins,1.89
159,0.09,6.3,420,0.0,138.0,0.99382,8.15,0.48,9.7,7,melted,11.6,raisins,1.54
160,0.74,12.5,370,47.0,156.0,0.9981,8.04,0.44,8.7,7,melted,14.4,chocolate,1.62
161,0.32,9.0,390,54.0,141.0,0.9956,8.22,0.43,9.4,8,melted,14.0,"chocolate, oats",1.63
162,0.34,5.3,340,33.0,104.0,0.9953,8.37,0.52,9.3,9,melted,14.2,"chocolate, oats",1.22
163,0.12,10.4,960,22.0,177.0,0.9983,8.32,0.45,9.1,6,melted,15.2,"nuts,raisins",1.52
164,0.28,1.5,430,19.0,113.0,0.99338,8.38,0.56,10.1,8,melted,14.6,chocolate,1.87
165,0.32,1.4,480,10.0,67.0,0.992,8.08,0.41,11.4,7,melted,12.8,"nuts, chocolate",1.7
166,0.52,2.2,740,13.0,25.0,0.99509,8.36,0.76,12.4,7,cubed,19.2,raisins,1.32
167,0.37,7.1,470,54.0,201.0,0.99523,8.19,0.48,9.5,8,melted,12.4,chocolate,1.32
168,0.22,8.8,520,24.0,113.0,0.99576,8.22,0.45,9.4,7,melted,13.4,"nuts, chocolate",1.21
169,0.31,1.1,450,20.0,73.0,0.9925,8.32,0.4,10.8,9,melted,14.4,"chocolate, oats",1.41
170,0.3,7.9,490,38.0,157.0,0.9963,8.13,0.48,8.9,8,melted,14.8,chocolate,1.81
171,0.11,2.6,790,12.0,49.0,0.9968,8.21,0.57,10.0,5,cubed,15.2,"nuts, chocolate",1.36
172,0.27,10.9,380,29.0,130.0,0.99496,8.11,0.44,10.5,9,melted,13.2,chocolate,1.64
173,0.2,2.2,490,18.0,134.0,0.99378,8.21,0.68,10.0,7,melted,11.2,chocolate,1.79
174,0.28,2.7,330,38.0,94.0,0.99075,7.99,0.43,11.8,9,melted,14.4,chocolate,1.79
175,0.25,3.4,760,34.0,85.0,0.99668,8.19,0.42,9.2,5,cubed,16.0,"chocolate, peanut butter",1.39
176,0.07,7.0,440,33.0,147.0,0.9944,8.33,0.58,9.7,7,melted,10.4,"nuts, oats, chocolate",1.21
177,0.22,5.6,390,31.0,128.0,0.99296,8.12,0.46,10.4,8,melted,12.6,chocolate,1.28
178,0.48,6.8,470,13.0,134.0,0.99616,8.23,0.7,10.0,7,melted,16.0,chocolate,1.6
179,0.45,1.5,570,19.0,37.0,0.99498,8.18,0.89,11.1,7,cubed,18.6,raisins,1.86
180,0.28,4.0,400,24.0,81.0,0.9903,8.26,0.64,12.6,9,melted,12.8,raisins,1.62
181,0.28,6.3,570,17.0,103.0,0.9957,8.5,0.44,9.6,7,melted,14.0,"chocolate, oats",1.73
182,0.24,1.1,390,6.0,62.0,0.9934,8.41,0.32,10.4,7,melted,13.4,"nuts, oats, chocolate",1.99
183,0.45,4.4,460,57.0,166.0,0.9943,8.13,0.62,11.2,8,melted,14.4,"chocolate, oats",1.04
184,0.14,8.6,320,30.0,142.0,0.99542,8.28,0.44,9.5,8,melted,11.8,chocolate,1.21
185,0.31,2.8,470,40.0,122.0,0.99126,8.06,0.64,10.9,9,melted,13.6,chocolate,1.76
186,0.24,1.6,540,25.0,117.0,0.9943,8.36,0.5,9.3,7,melted,12.8,raisins,1.85
187,0.62,7.1,330,48.0,185.0,0.99472,8.14,0.62,10.6,8,melted,14.6,raisins,1.24
188,0.31,10.7,380,59.0,186.0,0.9969,8.12,0.55,9.5,8,melted,15.4,chocolate,1.34
189,0.31,7.6,470,52.0,177.0,0.9962,8.13,0.45,8.9,8,melted,14.8,chocolate,1.92
190,0.34,6.7,290,21.0,162.0,0.99497,8.08,0.5,10.6,8,melted,18.0,chocolate,1.48
191,0.25,3.9,1040,28.0,90.0,0.99784,8.15,0.57,9.1,5,cubed,15.2,"nuts, chocolate",1.53
192,0.03,2.3,770,7.0,28.0,0.99568,8.35,0.52,10.0,5,cubed,14.4,"nuts,raisins",1.01
193,0.25,14.3,440,27.0,149.0,0.998,7.91,0.46,9.2,8,melted,14.0,"chocolate, oats",1.15
194,0.37,6.1,270,38.0,112.0,0.99086,8.19,0.34,12.4,8,melted,13.8,chocolate,1.93
195,0.26,1.4,410,40.0,141.0,0.9941,8.34,0.72,9.5,8,melted,13.0,"chocolate, oats",1.37
196,0.34,8.9,480,32.0,111.0,0.99455,8.25,0.54,11.0,9,melted,13.4,chocolate,1.12
197,0.28,2.4,120,36.0,100.0,0.99064,8.26,0.39,11.7,9,melted,13.4,chocolate,1.82
198,0.3,3.1,180,15.0,37.0,0.99004,8.02,0.52,11.9,9,melted,14.2,"chocolate, oats",1.47
199,0.65,2.6,930,15.0,47.0,0.9996,8.05,0.61,10.6,5,cubed,26.0,raisins,1.31
200,0.26,1.6,580,53.0,150.0,0.9936,8.18,0.5,9.9,9,melted,14.8,chocolate,1.88
201,0.27,4.0,380,37.0,97.0,0.99026,8.2,0.6,12.6,10,melted,13.0,raisins,1.03
202,0.21,5.1,350,29.0,142.0,0.9942,8.36,0.33,10.1,9,melted,12.6,chocolate,1.52
203,0.49,16.8,480,50.0,228.0,1.0001,8.03,0.52,9.2,8,melted,16.6,chocolate,1.31
204,0.49,1.5,520,34.0,134.0,0.9924,7.99,0.61,9.8,8,melted,12.6,chocolate,1.87
205,0.46,3.8,410,82.0,187.0,0.9932,8.19,0.6,11.2,9,melted,14.4,"chocolate, oats",1.49
206,0.0,1.9,580,5.0,10.0,0.9977,8.18,0.63,10.4,6,cubed,18.2,"nuts, oats, chocolate",1.16
207,0.4,1.7,310,48.0,134.0,0.9917,8.42,0.49,11.5,8,melted,12.6,chocolate,1.74
208,0.38,1.0,370,21.0,74.0,0.9918,8.21,0.37,11.0,7,melted,14.4,chocolate,1.47
209,0.25,7.8,580,44.0,166.0,0.9961,8.24,0.41,9.0,7,melted,12.6,chocolate,1.93
210,0.47,2.5,630,9.0,28.0,0.9981,8.24,0.65,10.8,6,cubed,19.6,"nuts, chocolate",1.91
211,0.42,15.1,330,28.0,124.0,0.99684,7.87,0.47,9.5,7,melted,12.2,"chocolate, oats",1.39
212,0.1,3.1,860,5.0,12.0,0.9958,8.54,0.6,11.2,4,cubed,15.0,"chocolate, oats, peanut butter",1.89
213,0.36,1.3,360,40.0,117.0,0.9934,8.27,0.95,9.5,9,melted,13.8,"chocolate, oats",1.0
214,0.06,2.0,600,4.0,11.0,0.99592,8.53,0.64,10.9,4,cubed,13.6,"raisins, oats",1.85
215,0.24,8.5,550,45.0,151.0,0.99626,8.2,0.52,9.2,7,melted,14.4,"nuts, chocolate",1.95
216,0.33,10.7,360,27.0,98.0,0.99521,8.34,0.52,10.2,8,melted,12.2,raisins,1.75
217,0.32,5.6,390,15.0,68.0,0.99163,7.96,0.52,11.1,8,melted,13.2,chocolate,1.58
218,0.49,2.6,940,38.0,106.0,0.9982,8.08,0.59,9.1,5,cubed,18.2,"nuts, chocolate",1.06
219,0.34,5.1,620,8.0,22.0,0.9974,8.22,0.94,10.9,6,cubed,16.4,chocolate,1.95
220,0.0,4.1,950,5.0,14.0,0.99854,8.36,0.53,9.6,5,cubed,16.2,"chocolate, peanut butter",1.49
221,0.25,10.6,390,32.0,120.0,0.9962,8.31,0.34,10.1,8,melted,13.0,chocolate,1.86
222,0.25,19.1,450,50.0,208.0,1.00051,8.05,0.5,9.2,8,melted,16.0,chocolate,1.5
223,0.06,2.5,790,5.0,10.0,0.9967,8.39,0.56,9.8,5,cubed,15.2,"raisins, oats",1.94
224,0.27,6.6,540,40.0,158.0,0.99378,8.2,0.48,10.3,7,melted,12.6,chocolate,1.8
225,0.41,16.8,840,59.0,222.0,0.9993,8.18,0.58,9.0,7,melted,13.0,"nuts, chocolate",1.54
226,0.14,1.5,740,25.0,168.0,0.9937,8.05,0.51,9.3,7,melted,15.2,"nuts, oats, chocolate",1.97
227,0.91,8.2,340,50.0,199.0,0.99394,8.39,0.49,11.7,8,melted,12.6,raisins,1.73
228,0.31,3.6,360,22.0,91.0,0.99278,8.41,0.5,9.8,8,melted,10.6,chocolate,1.45
229,0.3,13.0,430,46.0,238.0,0.9986,8.06,0.41,8.7,8,melted,14.6,chocolate,1.8
230,0.43,8.9,830,50.0,171.0,0.9965,7.85,0.5,9.0,7,melted,13.0,chocolate,1.24
231,0.36,2.0,290,21.0,63.0,0.99076,8.13,0.63,12.5,8,melted,14.4,chocolate,1.37
232,0.2,17.9,660,36.0,161.0,0.9991,8.14,0.51,8.8,7,melted,12.6,raisins,1.8
233,0.32,7.4,1750,47.0,159.0,0.9952,8.19,0.5,9.4,8,melted,12.0,raisins,1.33
234,0.26,1.4,390,30.0,104.0,0.98998,8.32,0.41,12.4,8,melted,12.0,"chocolate, oats",1.09
235,0.24,2.7,920,14.0,44.0,0.998,8.12,0.74,10.0,6,cubed,19.0,"nuts, chocolate",1.14
236,0.08,2.1,710,16.0,24.0,0.99376,8.56,0.77,11.1,6,cubed,11.8,"nuts, oats, chocolate",1.93
237,0.29,15.4,730,56.0,173.0,0.9984,8.06,0.41,8.7,8,melted,13.6,chocolate,1.99
238,0.1,3.5,440,17.0,63.0,0.9937,8.01,0.39,9.2,7,melted,14.0,raisins,1.26
239,0.25,7.8,310,24.0,116.0,0.99241,8.39,0.4,11.3,8,melted,10.0,raisins,1.56
240,0.3,0.9,190,4.0,28.0,0.98931,8.2,0.36,12.0,8,melted,14.2,chocolate,1.32
241,0.36,15.7,500,29.0,124.0,0.9968,8.06,0.54,10.4,7,melted,15.0,chocolate,1.1
